test_case_id,scanner,operating_point,run,finding_summary,classification,ground_truth,match,category,max_severity
cve_2026_0756,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_0756,sigil,OP1_score_gt13,1,"score=19,bandit=2",TP,vulnerable,True,ASI05,score=19
cve_2026_0756,sigil,OP2_score_gt19,1,"score=19,bandit=2",FN,vulnerable,False,ASI05,score=19
cve_2026_1977,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_1977,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_1977,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_1977,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_1977,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_1977,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_1977,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_1977,sigil,OP1_score_gt13,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_1977,sigil,OP2_score_gt19,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_2008,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_2008,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_2008,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_2008,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_2008,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_2008,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_2008,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_2008,sigil,OP1_score_gt13,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_2008,sigil,OP2_score_gt19,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_23744,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2026_23744,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2026_23744,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2026_23744,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI03,MEDIUM
cve_2026_23744,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI03,MEDIUM
cve_2026_23744,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI03,MEDIUM
cve_2026_23744,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI03,MEDIUM
cve_2026_23744,sigil,OP1_score_gt13,1,"score=16,bandit=1",TP,vulnerable,True,ASI03,score=16
cve_2026_23744,sigil,OP2_score_gt19,1,"score=16,bandit=1",FN,vulnerable,False,ASI03,score=16
cve_2026_25546,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_25546,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_25546,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_25546,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_25546,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_25546,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_25546,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_25546,sigil,OP1_score_gt13,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_25546,sigil,OP2_score_gt19,1,"score=21,bandit=1",TP,vulnerable,True,ASI05,score=21
cve_2026_26029,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_26029,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_26029,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_26029,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_26029,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_26029,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_26029,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_26029,sigil,OP1_score_gt13,1,"score=19,bandit=2",TP,vulnerable,True,ASI05,score=19
cve_2026_26029,sigil,OP2_score_gt19,1,"score=19,bandit=2",FN,vulnerable,False,ASI05,score=19
cve_2026_32871,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI04,SAFE
cve_2026_32871,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI04,SAFE
cve_2026_32871,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI04,SAFE
cve_2026_32871,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
cve_2026_32871,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
cve_2026_32871,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
cve_2026_32871,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
cve_2026_32871,sigil,OP1_score_gt13,1,"score=25,bandit=2",TP,vulnerable,True,ASI04,score=25
cve_2026_32871,sigil,OP2_score_gt19,1,"score=25,bandit=2",TP,vulnerable,True,ASI04,score=25
cve_2026_33989,cisco,OP1_static_all,1,yara_analyzer:HIGH; yara_analyzer:HIGH,TP,vulnerable,True,ASI02,HIGH
cve_2026_33989,cisco,OP2_stdio_all,1,yara_analyzer:HIGH; yara_analyzer:HIGH,TP,vulnerable,True,ASI02,HIGH
cve_2026_33989,cisco,OP3_static_high,1,yara_analyzer:HIGH; yara_analyzer:HIGH,TP,vulnerable,True,ASI02,HIGH
cve_2026_33989,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI02,MEDIUM
cve_2026_33989,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI02,MEDIUM
cve_2026_33989,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI02,MEDIUM
cve_2026_33989,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI02,MEDIUM
cve_2026_33989,sigil,OP1_score_gt13,1,"score=19,bandit=2",TP,vulnerable,True,ASI02,score=19
cve_2026_33989,sigil,OP2_score_gt19,1,"score=19,bandit=2",FN,vulnerable,False,ASI02,score=19
cve_2026_5058,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_5058,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_5058,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2026_5058,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_5058,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,MEDIUM
cve_2026_5058,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_5058,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI05,MEDIUM
cve_2026_5058,sigil,OP1_score_gt13,1,"score=19,bandit=2",TP,vulnerable,True,ASI05,score=19
cve_2026_5058,sigil,OP2_score_gt19,1,"score=19,bandit=2",FN,vulnerable,False,ASI05,score=19
mcpsecbench_config_drift,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_config_drift,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_config_drift,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_config_drift,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_config_drift,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_config_drift,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_config_drift,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_config_drift,sigil,OP1_score_gt13,1,"score=18,bandit=1",TP,vulnerable,True,ASI04,score=18
mcpsecbench_config_drift,sigil,OP2_score_gt19,1,"score=18,bandit=1",FN,vulnerable,False,ASI04,score=18
mcpsecbench_indirect_injection,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_indirect_injection,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_indirect_injection,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_indirect_injection,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI01,MEDIUM
mcpsecbench_indirect_injection,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI01,MEDIUM
mcpsecbench_indirect_injection,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI01,MEDIUM
mcpsecbench_indirect_injection,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI01,MEDIUM
mcpsecbench_indirect_injection,sigil,OP1_score_gt13,1,"score=13,bandit=0",FN,vulnerable,False,ASI01,score=13
mcpsecbench_indirect_injection,sigil,OP2_score_gt19,1,"score=13,bandit=0",FN,vulnerable,False,ASI01,score=13
mcpsecbench_name_squatting_server,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_server,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_server,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_server,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_name_squatting_server,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_name_squatting_server,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_name_squatting_server,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_name_squatting_server,sigil,OP1_score_gt13,1,"score=21,bandit=1",TP,vulnerable,True,ASI04,score=21
mcpsecbench_name_squatting_server,sigil,OP2_score_gt19,1,"score=21,bandit=1",TP,vulnerable,True,ASI04,score=21
mcpsecbench_name_squatting_tools,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_tools,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_tools,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_name_squatting_tools,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_name_squatting_tools,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_name_squatting_tools,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_name_squatting_tools,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_name_squatting_tools,sigil,OP1_score_gt13,1,"score=13,bandit=0",FN,vulnerable,False,ASI04,score=13
mcpsecbench_name_squatting_tools,sigil,OP2_score_gt19,1,"score=13,bandit=0",FN,vulnerable,False,ASI04,score=13
mcpsecbench_schema_inconsistency,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_schema_inconsistency,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_schema_inconsistency,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI04,SAFE
mcpsecbench_schema_inconsistency,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_schema_inconsistency,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI04,MEDIUM
mcpsecbench_schema_inconsistency,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_schema_inconsistency,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI04,MEDIUM
mcpsecbench_schema_inconsistency,sigil,OP1_score_gt13,1,"score=21,bandit=1",TP,vulnerable,True,ASI04,score=21
mcpsecbench_schema_inconsistency,sigil,OP2_score_gt19,1,"score=21,bandit=1",TP,vulnerable,True,ASI04,score=21
mcpsecbench_tool_poisoning,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_tool_poisoning,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_tool_poisoning,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI01,SAFE
mcpsecbench_tool_poisoning,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI01,MEDIUM
mcpsecbench_tool_poisoning,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI01,MEDIUM
